,City,ISO3,country,country_num,year,population,GDP_USD,gdp_per_capita,home_adv,tot_gold,tot_silver,tot_bronze,tot_medals,last_medals,secondLast_medals,predictions_gold,predictions_silver,predictions_bronze
913,Rio de Janeiro,MUS,Mauritius,113,2016,1263473.0,12168437744.0,9630,0,0,0,0,0,0,1,0.0,0.0,1.0
926,Rio de Janeiro,MEX,Mexico,114,2016,127540423.0,1046922702461.0,8208,0,0,3,2,5,7,3,0.0,2.0,1.0
929,Rio de Janeiro,FSM,Micronesia (Federated States of),115,2016,104937.0,329895600.0,3143,0,0,0,0,0,0,0,0.0,0.0,0.0
933,Rio de Janeiro,MDA,Moldova,116,2016,3552000.0,6749515655.0,1900,0,0,0,0,0,2,1,0.0,0.0,0.0
946,Rio de Janeiro,MNG,Mongolia,118,2016,3027398.0,11183458131.0,3694,0,0,1,1,2,5,4,2.0,3.0,3.0
947,Rio de Janeiro,MNE,Montenegro,119,2016,622781.0,4374127212.0,7023,0,0,0,0,0,1,0,0.0,1.0,0.0
959,Rio de Janeiro,MAR,Morocco,120,2016,35276786.0,103606321693.0,2936,0,0,0,1,1,1,2,0.0,1.0,0.0
967,Rio de Janeiro,MOZ,Mozambique,121,2016,28829476.0,11014858592.0,382,0,0,0,0,0,0,0,0.0,0.0,0.0
970,Rio de Janeiro,MMR,Myanmar (Burma),122,2016,52885223.0,63225097051.0,1195,0,0,0,0,0,0,0,0.0,0.0,0.0
975,Rio de Janeiro,NAM,Namibia,123,2016,2479713.0,10947880690.0,4414,0,0,0,0,0,0,0,0.0,0.0,0.0
976,Rio de Janeiro,NRU,Nauru,124,2016,13049.0,102060130.0,7821,0,0,0,0,0,0,0,0.0,0.0,0.0
987,Rio de Janeiro,NPL,Nepal,125,2016,28982771.0,21131983246.0,729,0,0,0,0,0,0,0,0.0,0.0,0.0
1000,Rio de Janeiro,NLD,Netherlands,126,2016,17018408.0,777227541581.0,45669,0,8,7,4,19,20,16,3.0,9.0,4.0
1013,Rio de Janeiro,NZL,New Zealand,127,2016,4692700.0,184969146624.0,39416,0,4,9,5,18,13,9,1.0,1.0,2.0
1018,Rio de Janeiro,NIC,Nicaragua,128,2016,6149928.0,13230844687.0,2151,0,0,0,0,0,0,0,0.0,0.0,0.0
1028,Rio de Janeiro,NER,Niger,129,2016,20672987.0,7528387858.0,364,0,0,1,0,1,0,0,0.0,0.0,0.0
1040,Rio de Janeiro,NGA,Nigeria,130,2016,185989640.0,404652720165.0,2175,0,0,0,1,1,0,4,0.0,3.0,1.0
1052,Rio de Janeiro,NOR,Norway,131,2016,5232929.0,371076190476.0,70911,0,0,0,4,4,4,9,2.0,0.0,0.0
1059,Rio de Janeiro,OMN,Oman,132,2016,4424762.0,66293368010.0,14982,0,0,0,0,0,0,0,0.0,1.0,0.0
1071,Rio de Janeiro,PAK,Pakistan,133,2016,193203476.0,278913371202.0,1443,0,0,0,0,0,0,0,0.0,0.0,0.0
1074,Rio de Janeiro,PLW,Palau,134,2016,21503.0,310248300.0,14428,0,0,0,0,0,0,0,0.0,0.0,0.0
1078,Rio de Janeiro,PSE,Palestinian Territories,135,2016,4551566.0,13397100000.0,2943,0,0,0,0,0,0,0,0.0,0.0,0.0
1090,Rio de Janeiro,PAN,Panama,136,2016,4034119.0,55187700000.0,13680,0,0,0,0,0,0,1,1.0,0.0,0.0
1098,Rio de Janeiro,PNG,Papua New Guinea,137,2016,8084991.0,20213214172.0,2500,0,0,0,0,0,0,0,0.0,0.0,0.0
1108,Rio de Janeiro,PRY,Paraguay,138,2016,6725308.0,27424071383.0,4077,0,0,0,0,0,0,0,0.0,0.0,0.0
1121,Rio de Janeiro,PER,Peru,139,2016,31773839.0,192207342005.0,6049,0,0,0,0,0,0,0,0.0,0.0,1.0
1133,Rio de Janeiro,PHL,Philippines,140,2016,103320222.0,304905406845.0,2951,0,0,1,0,1,0,0,0.0,0.0,1.0
1138,Rio de Janeiro,POL,Poland,141,2016,37948016.0,471364408714.0,12421,0,2,3,6,11,10,10,2.0,2.0,6.0
1151,Rio de Janeiro,PRT,Portugal,142,2016,10324611.0,204836597909.0,19839,0,0,0,1,1,1,2,0.0,2.0,0.0
1170,Rio de Janeiro,QAT,Qatar,144,2016,2569804.0,152451923077.0,59324,0,0,1,0,1,2,0,3.0,0.0,1.0
1176,Rio de Janeiro,ROU,Romania,145,2016,19705301.0,187592037840.0,9519,0,1,1,2,4,9,8,3.0,1.0,3.0
1181,Rio de Janeiro,RUS,Russia,146,2016,144342396.0,1283162985989.0,8889,0,19,17,20,56,82,72,48.0,26.0,28.0
1188,Rio de Janeiro,RWA,Rwanda,147,2016,11917508.0,8376048905.0,702,0,0,0,0,0,0,0,0.0,0.0,0.0
1195,Rio de Janeiro,WSM,Samoa,148,2016,195125.0,786356315.0,4030,0,0,0,0,0,0,0,0.0,0.0,0.0
1198,Rio de Janeiro,SMR,San Marino,149,2016,33203.0,1590707965.0,47908,0,0,0,0,0,0,0,0.0,0.0,0.0
